No.,Code,Question,Answer,Note
125,HT126,Hệ thống giải pháp sẽ ứng dụng như nào cho sức khỏe?,"Để ứng dụng bảo vệ cho sức khỏe hệ thống có sản phẩm như cảm biến bụi mịn, đèn, cảm biến nhiệt độ, bộ điều khiển hồng ngoại,…
Giải pháp ứng dụng smart cho sức khỏe:
 Kiểm soát nồng độ bụi trong nhà của bạn: Khi nồng độ bụi mịn đo được từ máy cảm biến vợt ngưỡng an toàn hệ thống sẽ kích hoạt máy lọc không khí, hay gửi thông báo đến cho khách hàng. 
 Báo thức bằng ánh sáng: Như nghiên cứu thì báo thức đột ngột bằng âm thanh không tốt cho chúng ta. Với chức năng đèn có thể hẹn giờ để bật tắt tăng giảm thay đổi màu thì việc báo thức bằng ánh sáng khá tiện ích. ........ 
 HCL: Hệ thống có chế độ HCL ánh sáng trong nhà bạn được mô phỏng như ánh sáng tự nhiên hỗ trợ theo nhịp sinh học của con người. Bạn cũng có thể cài kịch bản ánh sáng trước khi đi ngủ ánh sáng sẽ vàng dịu, giúp thư giãn dễ dàng đi vào giấc ngủ hơn. 
 Kiểm soát không khí : Cài kịch bản với những ngày nắng độ ẩm không khí thấp, khô thì sẽ hẹn giờ tự tưới cây. 
 Kiểm soát nhiệt độ: Cài đặt kịch bản IR cài đặt điều khiển điều hòa (buổi tối lạnh, nửa đêm sẽ bật ấm hơn và gần sáng thì tắt) để đảm bảo sức khỏe gia đình. Hay trẻ sơ sinh và người giá là những đối tượng khá mẫn cảm với thời tiết. Nhiệt độ phù hợp trong khoảng 18 ̊ C đến 28 ̊ C và độ ẩm khoảng 50%. Bạn có thể cài đặt nếu nhiệt độ trong phòng k phù hợp sẽ kích hoạt IR điều khiển điều hòa hay máy phun sương tạo ẩm, quạt thông gió khi cần độ ẩm giảm bớt.",
126,HT127,Nếu nhà đang sử dụng hệ thống thiết bị thông minh của Rạng Đông thì có thể thêm thiết bị của một hãng hãng mà cùng chuẩn bluetooth. Như vậy có sử dụng được không?,Không thể sử dụng 1 thiết bị cùng 1 app và đồng bộ được. Có thể hiểu đơn giản như 2 người thuộc 2 quốc gia khác nhau nói 2 thứ tiếng khác nhau nên không thể hiểu nhau nói chuyện được.,
127,HT128,Nếu 1 số trong đèn nhà tôi bị hỏng thì khi thay mới có phải cài lại từ đầu không?,"Khi thay mới 1 số đèn trong hệ thống a/c add lại đèn rồi cho thêm vào phòng, nhóm, như vậy các kịch bản đã cài đặt có thể sử dụng được bình thường không mất công cài lại.",
128,HT129,"Tôi đã dùng 1 số thiết bị nhà thông minh cho phòng.. Khá thích, giờ muốn mở rộng hệ thống cho cả nhà? Vậy có tích hợp thêm được không? Nếu tích hợp được có phải cài lại thiết bị đã cũ không?",Nếu Kh sử dụng bộ combo đèn: LINK,
129,HT130,Chi phí để làm nhà thông minh hết khoảng bao nhiêu?,Tùy thuộc vào diện tích và số lượng thiết bị nhà a/c sử dụng. A/c cho em xin thông tin diệnt ích nhà hay số lượng dự kiến sử dụng để có thể dự kiến được số lượng cũng như giá.,
130,HT131,Đèn tôi mới mua nhưng cấp nguồn thì đèn có biểu hiện sáng vàng hoặc cấp nguồn đầy đủ nhưng đèn không sáng?,"Trường hợp ánh chị có thể do đèn đã được add trước đó, giờ a/c hãy thử tiến hành reset lại đèn.",Hỏi khách đó là loại đèn gì và HD khách hàng reset đèn tương ứng loại đèn đó
131,HT132,"Rạng Đông đã làm chủ công nghệ, linh kiện sản xuất Smart chưa?","Về công nghệ Rạng Đông đã làm chủ toàn bộ từ nghiên cứu phát triển đến sản xuất, với định hướng phát triển sử dụng công nghệ lõi là chiếu sáng và IoT. Về sản xuất: các thiết bị của Rạng Đông được sản xuất trên dây chuyền SMT phục vụ cho cả xuất khẩu (G7/G20) và thị trường nội địa, với hệ thống quản lý sản xuất MES, cảnh báo lỗi sớm hiện đại
Rạng Đông đã tự xây dựng 1 hệ sinh thái gồm nhiều loại thiết bị khác nhau: công tắc 1,2,3,4 nút; rèm; đèn CCT,RGB,DIM; cảm biến khói, cửa, nhiệt độ độ ẩm,…;
Rạng Đông có thể tùy biến mọi tính năng, thiết kế trên mọi sản phẩm, tối ưu theo từng bài toán cụ thể",
132,HT133,"Trong một nhà, có nhiều người xử dụng, thì ngoài chủ nhà ra thì những người khác điều khiển như nào?","Đối với việc nhiều người điều khiển thì có thể chia sẽ quyền sử dụng tài khoản của chủ nhà cho các thành viên khác trong nhà, người chia sẻ có thể phần quyền: Admin, user cho người khác, từ đó mọi người khi được chia sẻ quyền sử dụng tài khoản thì đều có thể sử dụng",
133,WF001,Thiết bị mới mua về không thể add được (thiết bị được add lần đầu) ?,"B1: Kiểm tra lại nguồn điện của thiết bị
B2: Xem trạng thái thiết bị chờ add có đúng hiện trạng không (không tiến hành reset thiết bị)
B3: Kiểm tra mạng Internet của gia đình đang sử dụng: 2.4Ghz hay 5Ghz
B4: Nếu đã kiểm tra các bước trên, tiến hành reset là quét lại thiết bị",
134,WF002,Thiết bị trước dùng bình thường khi thay đổi mạng thì không để điều khiển được ?,"Nguyên nhân có thể khi xóa thiết bị trên ứng dụng nhưng thực tế thiết bị wifi chưa được xóa khỏi mạng (chưa nhận lệnh xóa). Thiết bị mới được xóa khỏi ứng dụng mà chưa được xóa khỏi mạng
A/c khắc phục: Thực tiện reset trên thiết bị và add lại lại thiết bị",
135,WF003,Không reset được thiết bị ?,"A/c chị đang dùng loại thiết bị nào ạ?
 Đèn bulb, downlight..: Cấp nguồn cho thiết bị rồi (bật-tắt)x3 lần sau đó đèn nhấp nháy nhanh. Reset thành công
 Đèn led dây: trên driver của biết bị ( phần cục vuông trắng giữa đèn và nguồn): ấn giữ nút trên đó 5s đèn nhấp nháy màu đỏ. Reset thành công
 Công tắc: 
Công tắc cảm ứng CTCU
 : Ấn giữ phím bất kì khi led biểu tượng wifi nháy (led màu đỏ)
Công tắc cảm ứng 2W.SP
 : Ấn giữ 1 nút bất kỳ đến khi toàn bộ các đèn của các nút đều nháy
 Ổ cắm: trên ổ cắm có nút biểu tượng nguồn: ấn giữ nút đó 5s cho đến khi led báo hiệu trên ổ cắm nhấp nháy là thành công.
 Đèn bàn RL-68: 
 •Cấp nguồn lần đầu đèn mặc định ở chế độ
đã Reset – chờ kết nối, đèn “HCL” sẽ nháy trong 3 phút.
 • Muốn thực hiện Reset thì tiến hành thực hiện bấm
phím “Time” liên tiếp 4 lần, trong vòng 2s tiếp theo
bấm tiếp phím “HCL” lúc đó đèn chỉ thị “HCL”
sẽ nháy. Bắt đầu thực hiện kết nối với App
=> KH không reset được thì xin thông tin để gửi video hướng dẫn chi tiết",
136,WF004,Khách đang dùng sản phẩm thiết bị wifi muốn mở rộng thêm thiết bị ?,"A/c có thể mở rộng thiết bị thoải mái, nhưng cục router (bộ phát wifi) của nhà a/c phải đủ băng tần khi thêm số lượng thiết bị. Ví dụ: bộ phát wifi phổ biến trên thị trường có thể cho kết nối cùng lúc 15-20 thiết bị thì tổng số lượng thiết bị wifi để cả đèn phải nằm trong số đó",
137,WF005,Khoảng cách kết nối từ router đến thiết bị là bao nhiêu ?,"Điều này phụ thuộc vào bộ phát sóng wifi (router) nhà a/c. Ngoài ra phụ thuộc vào vị trí có vật cản nữa. 
Bộ phát sóng wifi trên thị trường theo các nhà mạng công bố sẽ có tầm phát sóng 30m 50m với điều kiện lý tưởng.",
138,WF006,Khi router vẫn phát mạng không có internet có điều khiển được thiết bị không ?,"TH router bộ phát wifi nhà a/c vẫn hoạt động nhưng mất đường truyền internet thì a/c vẫn điều khiển được thiết bị trong nhà với điều kiện điện thoại và thiết bị đèn, công tắc wifi của a/c tới cùng bắt tới mạng wifi do bộ phát wifi kia phát ra.",
139,WF007,Công tắc wifi lắp được tối đa với tải là bao nhiêu?,"Công tắc wifi lắp tối đa với tải 300W cho đèn sợi đốt và 150W tối đã với đèn LED
Đối với công tắc 1 nút thì công suất tối đa là 3000W cho lộ điện",
140,WF008,Công tắc wifi có lắp được cho quạt không ?,Có. Công tắc wifi dùng được cho tải quạt. Vì công suất tối đã của công tắc lên tới 300W,
141,WF009,Công tắc cảm ứng thông minh có những tính năng gì ?,"A/c có thể điều khiển bật tắt qua app, hẹn giờ, hoặc điều khiển theo kịch bản cài đặt, điều khiển thông qua giọng nói, và bật tắt trực tiếp bằng công tắc
A/c có thể dùng cho đèn, quạt, máy bơm nước,...",
142,WF010,Đèn wifi có những tính năng gì ?,"A/c có như cầu mua đèn chiếu sáng thông thường hay để trang trí ạ?
Led dây RGB, bulb: Đối với đèn led dây, bulb: có tăng giảm độ sáng, thay đổi nhiệt độ màu và thay đổi màu RGB 16 triệu màu. Đèn này phù hợp để trang trí, lắp thay thế đèn đầu giường phòng ngủ, đèn thả trần,..
Đèn ốp trần,..: Đối với thiết bị đèn ốp trần, downlight, panel a/c có thể thay đổi cường độ sáng, nhiều độ màu (sáng ấm, sáng trắng). Đèn này phù hợp với lắp chiều sáng thay thế đèn thường cho phòng khách, ngủ,...
=> tất cả đèn đều điều khiển được qua app Rang Dông Smart, hẹn giờ, điều khiển theo kịch bản, giọng nói....",
143,WF011,Kết nối để điều khiển giọng nói như nào ?,"Để điều khiển giọng nói a/c phải có ""Loa Google Home mini"" và tải ứng dụng ""Google Home"" để cài đặt. 
B1: kết nối Loa với ứng dụng Google Home
B2: Link tài khoản ""Smart Life"" nhập tài khoản của Rạng Đông Smart",
144,WF012,Tải ứng dụng gì để điều khiển thiết bị ?,"Ứng dụng điều khiển có tên ""Rạng Đông Smart"". A/c có thể tìm kiếm và tải trên CH Play và AppStore",
145,WF013,Ứng dụng có thể chia sẻ tài khoản được không ?,"Ứng ""Rang Đông Smart"" có hỗ trợ chia sẻ tài khoản. Hướng dẫn chi tiết theo link ô bên",
146,WF014,Cài đặt kịch bản điều khiển thiết bị như thế nào ?,"Để cài đặt kịch bản a/c: vào ứng dụng >Chọn tab ""Kịch bản thông minh""=> """" => ""Tạo điều khiển để chạy kịch bản => Tạo trạng thái đầu ra thiết bị 
=> A/c có dùng zalo hay mạng xã hội nào để em kết bạn gửi video hướng dẫn cho tiện ạ.",
147,WF015,Add thiết bị đèn như nào ?,"Với các thiết bị mới mua thì sẽ sẵn sàng trong trạng thái chờ kết nối.a/c chỉ mở app, Tại màn hình trang chủ chọn """" rồi chọn ""Thiết bị chiếu sáng"" => chọn ""Thiết bị chiếu sáng (Wifi)=> Chọn mạng wifi và điền mật khẩu, ấn ""Tiếp tục"" => ấn xác nhận đèn nhấp nháy nhanh, chọn ""Tiêp theo"", chờ cho đến khi thiết bị cấu hình xong và thông báo hoàn thành",
148,WF016,Add thiết bị công tắc như nào ?,"Với các thiết bị mới mua thì sẽ sẵn sàng trong trạng thái chờ kết nối. a/c chỉ mở app, 
Quét theo quy trình: Tại màn hình trang chủ chọn """" rồi chọn ""Thiết bị điện"" => chọn ""Công tắc (Wifi)=> Chọn mạng wifi và điền mật khẩu, ấn ""Tiếp tục"" => ấn xác nhận đèn nhấp nháy nhanh, chọn ""Tiêp theo"", chờ cho đến khi thiết bị cấu hình xong và thông báo hoàn thành
Quét nhanh: Trước khi thao tác trên App ta tiến hành mở Bluetooth trên điện thoại, bật vị trí. Sau đó tại màn hình trang chủ chọn """" rồi chọn ""Thêm thiết bị"" sau đó thiết bị đã kết nối đang ở trạng thái chờ sẽ được hiện đề suất=> Ta tiến hành chọn thiết bị đó => App sẽ chuyển sang trạng thái xác nhận mật khẩu WIFI nhập mật khẩu WIFI và đợi thiết bị được kết nối => Đến khi thành công và thông báo hoàn thành",
149,WF017,Tại sao thiết bị của tôi lại ở chế độ ngoại tuyến ?,"TH1: Có thể do mạng internet kết nối đến thiết bị đang gặp sự cố
TH2: đèn hoặc thiết bị của a/c đang bị ngắt nguồn điện",
150,WF018,Tôi muốn xóa thiết bị đi làm như thế nào ?,"Đảm bảo thiết bị vẫn kết nối mạng và điều khiển bình thường. 
Trên app a/c thao tác như sau: Click vào thiết bị trong danh sách thiết bị tại trang chủ ""Căn nhà của bạn"" > kích vào biểu tượng chỉnh sửa hình chiếc bút (bên phải phía trên cùng màn hình) > chọn ""Di chuyển thiết bị""",
151,WF019,Reset đèn như thế nào ?,"Đảm bảo thiết bị đã được cấp nguồn và nằm trong phần phủ sóng của mạng wifi và thiết bị của bản đã được kết nối tới mạng wifi
(Bật/ tắt)x3 lần cho đến khi thiết bị đèn nhấp nháy nhanh",
152,WF020,Reset công tắc như thế nào ?,"Đảm bảo thiết bị của bạn đã được cấp điện và điện thoại của bạn đã kết nối tới mạng Wifi của bạn. Nhấn giữ 1 nút bất kỳ tới khi LED báo tín hiệu Wifi nhấp nháy. 
LED tín hiệu màu xanh báo đã kết nối Wifi. 
LED tín hiệu tắt báo mất kết nối Wifi. 
LED tín hiệu nhấp nháy báo đang chờ kết nối.",
153,WF021,Đấu điện với công tắc như thế nào ?,"Tháo rời mặt kính(Đối với loại liền khối thì tháo rời phần thân ra khỏi bát gắn tường)
Nối dây nóng với đầu (kí hiệu chữ ""L) và dây mát với đầu (kí hiệu ""N) .
Nối các đầu 1, 2,.. Tới các thiết bị điện ccần điều khiển
=>Chi tiết xem file bên ô cạnh",
154,WF022,Nguồn của đèn led dây là bao nhiêu ?,Bộ nguồn của đèn led dây sử dụng nguồn 220V và đầu ra bộ nguồn là 12V,
155,WF023,Cắm đèn led dây vào nguồn theo chiều nào (tải với driver) ?,"Tải LED được cắm vào tải driver theo chiều dấu """" trên tải led và nguồn",
156,WF024,Ổ cắm đơn wifi dùng cho tải quạt tắt trên app nhưng quạt vẫn chạy ?,Nguyên nhân có thể do thiết bị công tắc chưa nhận lệnh điều khiển khi ấn thay đổi trên app.,
157,WF025,Công suất tối đã của ổ cắm wifi là bao nhiêu ?,Công suất tối đã của ổ cắm là 3000W,
158,WF026,Công tắc cảm ứng wifi bấm tay không nhận ?,Có thể do mặt kính công tắc bị kênh nên dẫ đến không nhạy khi bấm. A/c lắp lại mặt kính bằng cách ấn lại các góc mạt kình co đều tránh bị kênh,
159,WF027,"TH thiết bị trước đã được kết nối và mạng wifi và dùng bình thường, sau đó xóa thiết bị ra khổi ứng dụng nhưng không thể kết nối lại và điều khiển thiết bị?","Nguyên nhân có thể khi xóa thiết bị trên ứng dụng nhưng thực tế thiết bị wifi chưa được xóa khỏi mạng (chưa nhận lệnh xóa). Thiết bị mới được xóa khỏi ứng dụng mà chưa được xóa khỏi mạng nên khi kết nối lại sẽ không tìm thấy và cấu hình thiết bị được. 
Để xử lý a/c reset lại thiết bị và tiến hành add lại bình thường",
160,WF028,Đế công tắc cảm ứng có phù hợp với đế công tắc cũ không?,"Đế công tắc có hiện nay của Rạng Đông đang là đế hình chữ nhật, và đây cũng là loại phổ biến trên thị trường. Tương lai Rạng Đông cũng đang nghiên cứu để đưa ra thị trường thêm loại công tắc với đế vuông",
161,WF029,Cách kiểm tra băng tần 2.4 GHZ hạ tầng mạng,"Tải phẩn mền ứng dựng Wifi Analyzer để check băng tần hiện đang sử dụng 
https://play.google.com/store/apps/details?id=abdelrahman.wifianalyzerpro",
162,WF030,Cách chuyển Băng Tần 5.0 -> Băng tần 2.4 GHZ,"B1. Kết nối máy tính/ điện thoại tới modem wifi
B2. Đăng nhập vào cài đặt modem
Mở trình duyệt: Chrome, cốc cốc, firefox,… Gõ truy cập địa chỉ IP modem (Tùy hãng và loại moderm có địa chỉ khác nhau. In tại mặt sau của modem)
Đăng nhập tài khoản (in trên mặt sau moderm)
B3. Cấu hình chọn băng tần 2.4GHz
Kéo tìm đến mục: Dual Band selecttione hoặc phần network>wireless 2.4GHz
Chọn Only work in 2.4 (chỉ phát với bang tần 2.4GHz) hoặc concurrently with 2.4GHz và 5GHz (nếu muốn cả 2)
B4. Lưu và khởi động lại
Chọn “Save” và Reboot hoặc bạn vào phần System Tools > Reboot và nhấp vào nút Reboot để khởi động lại modem. Như vậy là hoàn thiện xong cài đặt.",
163,WF031,Công tắc WIFI tính năng có khác gì công tắc BLE không (Khách hàng C2 đang bán Smart đơn lẻ hay hỏi),"1. Nguyên lý hoạt đông:
Công tắc WIFI khi hoạt động sẽ kết nối trực tiếp lên hệ thống mạng của nhà, do vậy mỗi thiết bị là 1 địa chỉa IP, nếu nhà có quá nhiều thiết bị thì có thể làm ảnh hưởng đến tốc độ mang
Công tắc BLE khi hoat động, các thiết bị sẽ MESH với nhau qua sóng Bluetooth, từ đó sẽ kết nối lên Bộ đk trung tâm, xong từ bộ đk trung tâm kết nối len Server, từ đó cả nhà nhiều thiết bị cũng chỉ quy về 1 đầu địa chỉ IP của bộ đk trung tâm sẽ tối ưu hơn",
164,WF032,Sản phẩm công tắc WIFI BLE mới ra có gì khác so với các sản phẩm công tắc WIFI từ trước,"Sản phẩm công tắc WIFI BLE là sản phẩm mới có những cải tiến so với phiên bản trước đó ở những điểm như sau:
Tích hợp sẵn 2 công nghệ WIFI BLE trong cùng 1 sản phẩm, do vậy có thể hoạt động trên 2 app ứng dụng Rạng Đông Smart và Rallismart V2
Thiết kế liền khối Dễ dàng thi công lắp đặt, hạn chế chống xước mặt kính, tăng khả năng chống ẩm,...
Khả năng tương thích với công tắc KDKP giúp tăng tính tiện nghi, khả năng tương tác với thiết bị",
165,RF001,"Các bộ combo đều có 2model (kiểu đèn khác nhau), vậy 2 model đó khác gì nhau?","Combo có 2model, 2 model đó khác nhau ở đường kính lỗ khoét trần và công suất đèn (khoét trần phi 110 cho đèn 9W và phi 90 cho đèn 7W)",
166,RF002,"Tôi dùng số đèn khác với số đèn có trong bộ Combo được không? 
(Ví dụ phòng ngủ nhà tôi có 5 đèn, phòng bếp 7 đèn,..?)","Với phòng 5 đèn, anh/chị nên mua combo 6 đèn là phù hợp nhất, đèn còn lại anh/chị có thể để dự phòng khi nào đèn hỏng thì mình thay thế.",
167,RF003,Tôi có thể dùng 2 Remote cho 1 Combo không?,"Được. Anh/chị mua lẻ thêm 1 Remote và nhờ nhân viên đại lý sao chép Remote 
Hoặc hỏi khách có muốn tự thực hiện không, và hướng dẫn khách tự thực hiện nếu đồng ý
Hỏi địa chỉ khách để tư vấn cho khách đại lý gần nhất",
168,RF004,"Tôi ở khu vực A, muốn mua đèn thì tới đâu để mua?","A/c cho em khu vực a/c để em tìm đại lý gần nhất ạ ( lấy thông tin: vào web: rangdong.com.vn > ""Địa chỉ mua hàng"" > lọc theo vùng khách ) Gửi thông tin địa chỉ và sdt của đại lý để khách dẽ dàng tìm điểm mua
A/c có thể mua hàng ở trên các trang thương mại điện tử như Lazada, Shopee, Tiki với gian hàng có tên ""Rạng Đông Store"" Đây là gian hàng bán sản phẩm trực tiếp của Rạng Đông ạ.",
169,RF005,Tôi có thể mua Online không (qua TMĐT hoặc 1 hình thức Online nào đó?),"A/c cho em khu vực a/c để em tìm đại lý gần nhất ạ ( lấy thông tin: vào web: rangdong.com.vn > ""Địa chỉ mua hàng"" > lọc theo vùng khách ) Gửi thông tin địa chỉ và sdt của đại lý để khách dẽ dàng tìm điểm mua
A/c có thể mua hàng ở trên các trang thương mại điện tử như Lazada, Shopee, Tiki với gian hàng có tên ""Rạng Đông Store"" Đây là gian hàng bán sản phẩm trực tiếp của Rạng Đông ạ.",
170,RF006,"Bộ comnbo được bảo hành bao lâu, TH nào thì được bảo hành?","Bộ sản phẩm combo bên em bảo hành 2 năm, và TH nguyên nhân do cháy, chập điện những nguyên nhân do sự cố bên ngoài tác động thì không nằm trong TH được bảo hành",
171,RF007,Kích thước lỗ khoét trần là Phi 135 thì mua loại Combo nào?,"Hiện tại bên em chỉ có combo cho đường kính lỗ khoét trần là 110 và 90. Nhưng anh chị có thể mua loại sản phẩm có tính năng tương tự (tính năng, đổi nhiệt độ màu sáng ấmsáng trắng, tăng giảm cường độ sáng và điều khiển thông qua remote) => Tư vấn về đèn panel 135 RF",
172,RF008,Kích thước lỗ khoét trần là Phi 100 thì mua loại Combo nào?,"A/c có thể mua bộ combo có đèn 110/9w, bộ đèn này có kích thước lỗ khoét trần 110mm",
173,RF009,Muốn mua mới 1 bộ combo nhiều hơn 10 đèn?,"Xin thông tin của khách, và xác nhận rõ yêu cầu của khách, sau đó cung cấp cho khách một số đại lý gần nhất để mua hàng, cung cấp cho khách 2 lựa chọn
Cách 1: Tới đại lý tại địa phương và nói rõ yêu cầu để nhân viên đại lý tư vấn, và add đủ số đèn mong muốn vào 1 combo. (Ví dụ nếu khách muốn mua 16 đèn thì đại lý bán cho khách bộ combo 10, add thêm 6 đèn vào Remote bộ combo 10)
Cách 2: Hướng dẫn nếu khách muốn tự mua một combo và mua thêm số đèn cần thiết về để add vào Remote. (Nói rõ cho khách phương án khách có thể mua hai bộ combo: combo 10 và combo 6 để đủ 16 đèn. Sau đó add đèn của 1 combo vào combo còn lại. Còn Remote thừa khách có thể nhân bản để dự phòng mất Remote Tối ưu hơn việc khách mua thêm 6 đèn lẻ)",
174,RF010,"Tôi có 2 khu vực, dùng 2 combo khác nhau thì có bị nhiễu điều khiển giữa 2combo không?","A/c hoàn toàn có thể yên tâm về điều này, sản phẩm bên em sẽ không bị lỗi nhiễu điều khiển giữa 2 khu vực lắp 2 bộ combo.",
175,RF011,"Tôi mới làm trần, chưa khoét lỗ, tôi có phòng diện tích xx (m2) thì nên mua combo nào?","A/c cho em xin diện tích của phòng ạ. Với các bộ combo thì sẽ phù hợp cho từng loại số lượng đèn hơn. Và với mỗi lại bên em có 2 kiểu đèn tương ứng: AT16 110/9W và AT16 90/7W. 
Combo 4: phòng <10m2
Combo 6: Phòng 10-15m2
Combo 8: Phòng 15-20m2
Combo 10: Phòng 20-25m2","Nói rõ cho khách mỗi combo lại có 2 lựa chọn về đường kính lỗ khoét và công suất đèn (9w sẽ sáng hơn 7w,…)
Nếu khách chọn đèn 7w thì khoét trần lỗ phi 90, đèn 9w thì phi 110."
176,RF012,Tôi mua combo về thì lắp đặt có khó không? Có phải cài đặt gì không?,"Lắp đặt rất đơn giản, chỉ cần về cấp nguồn điện 220V như các thiết bị đèn thông thường là có thể sử dụng, không cần cài đặt 
Nếu a/c muốn tuỳ biến kịch bản, bộ combo cũng sẽ đáp ứng được, nhưng lúc đó cần một số bước thao tác cài đặt",
177,RF013,"Khoảng cách xa nhất giữa Remote và đèn?
Có điều khiển xuyên tường được không?",Khoảng cách xa nhất khi không có vật cảm giữa Remote điều khiển được đèn là 30m. Remote có thể điều khiẻn được xuyên tường nhưng khoảng cách sẽ kém hơn (khoảng 8 -15m tùy theo loại vật cản),
178,RF014,"Tôi có thể nâng cấp lên điều khiển qua app/ Internet, hoặc Smart home không?",Không. Nhưng nếu a/c đang có nhu cầu nâng cấp về điều khiển qua app/ internet (Smart Home) em xin giới thiệu về giải pháp BLE bên em gồm có RalliSmart hoặc nếu nhà anh chị đang dùng box FPT thì Rạng Đông cũng đã tích hợp sản phẩm với FPT,
179,RF016,"Giả sử mua combo 10 lắp cho 2 phòng, muốn bổ sung thêm Điều khiển như thế nào . Hoặc có cách giải quyết nào không ???","Để điều khiển được 2 phòng thì a/c sẽ phải mua thêm 1 remote nữa. Sau khi mua remote về, a/c thực hiện add đèn theo từng remote hoặc anh chị có thể mua và nhờ bên đại lý bán hàng add đèn theo như cầu của mình",
180,RF017,"Chế độ bảo hành, đổi tra thiết bị khi bị lỗi , bên nào đảm nhận. Xử lý thế nào.",Bên em sẽ bảo hành sản phẩm trong 2 năm với nhưng nguyên nhân do sản phẩm bên em ạ. Để được bảo hành a/c có thể mang đến đại lý trực tiếp đã mua sản phẩm hoặc gửi sản phẩm về công ty CP bóng đèn phích nước Rạng Đông số 97 Hạ Đình với nội dung thông tin a/c và ghi rõ hàng kiểm tra bảo hành,
181,RF020,"Tôi đang dùng 1 combo, mất Remote thì có điều khiển được đèn không?","Nếu mất Remote thì a/c sẽ không điều khiển được các kịch bản chiếu sáng, nhưng vẫn điều khiển đèn ON-OFF bằng công tắc thường (công tắc đấu nối đèn để đóng/ ngắt nguồn điện).
Lưu ý là đèn sẽ chỉ sáng theo kịch bản cuối cùng đã điều khiển trước khi mất Remote. Ví dụ, trước khi mất Remote, kịch bản cuối đang dùng là Lễ hội (ánh sáng ấm, cường độ nhẹ), thì khi mất Remote, điều khiển On/Off bằng công tắc cơ, đèn sẽ chỉ sáng với ánh sáng của kịch bản Lễ hội (không thể điều khiển kịch bản khác)",
182,RF021,"Cách bật đèn khi không có Remote (quên/ mất/ hỏng,..) ?","Nếu mất Remote thì a/c sẽ không điều khiển được các kịch bản chiếu sáng, nhưng vẫn điều khiển đèn ON-OFF bằng công tắc thường (công tắc đấu nối đèn để đóng/ ngắt nguồn điện).
Lưu ý là đèn sẽ chỉ sáng theo kịch bản cuối cùng đã điều khiển trước khi mất Remote. Ví dụ, trước khi mất Remote, kịch bản cuối đang dùng là Lễ hội (ánh sáng ấm, cường độ nhẹ), thì khi mất Remote, điều khiển On/Off bằng công tắc cơ, đèn sẽ chỉ sáng với ánh sáng của kịch bản Lễ hội (không thể điều khiển kịch bản khác)",
183,RF022,"Tôi đang dùng 1 combo, nhưng Remote không điều khiển được, tôi phải xử lý như thế nào?","A/c vui lòng kiểm tra remote có đang được lắp pin hay lắp đúng chiều pin không giúp em. (trường hợp có lắp pin và lắp đúng chiều thì kiểm tra bước tiếp).
A/c có thể giúp em kiểm tra xem pin trên Remote còn dùng được hay không bằng cách nhấn 1 nút bất kỳ đèn báo vẫn sáng là pin còn dung lượng => Nếu đèn báo không nháy thì a/c thay Pin cho remote với loại pin CR2450 3V của hãng Panasonic
TH không phải theo 2 nguyên nhân trên, mn có thể hướng dẫn KH add lại đèn (nếu remote còn hoạt động) hoặc đối remote hỏng thì mua mới add lại:
  TH khách tự add: Nếu pin còn dùng được hoặc đã thay pin nhưng vẫn không điều khiển được thì a/c vui lòng thao tác Add lại đèn vào remote. Em sẽ hướng dẫn chỉ mấy thao tác đơn giản thôi ạ.
 Nếu Add lại đèn không được thì tới đại lý bảo hành (nếu còn bảo hành) hoặc mua Remote mới (đối với trường hợp hết bảo hành)","Thao tác Add đèn: 
 Bước 1. Bật tất cả(Cấp diện cho đèn)
 Bước 2: Bấm lần lượt: HẰNG NGÀY THƯ GIÃN ON GIẢI TRÍ LỄ HỘI (sẽ thấy các đèn nháy sáng 1 lần)
 Bước 3: Tắt đèn bằng công tắc đấu nối nguồn điện để rồi bật lại và điều khiển thử
 Lưu ý:
 Thời gian chuyển giữa các bước phải <10s
 Đèn phải nháy ở bước 2 thì mới thành công"
184,RF023,"Remote hết pin, tôi mua pin loại nào, và mua ở đâu?","A/c có thể giúp em kiểm tra xem có đúng là Remote hết pin hay không bằng cách ấn nút trên remote xem đèn led báo trên remote sáng k.
Nếu hết pin, a/c có thể ra quán tạp hoá/ cơ khí/ điện nước/ điện tử/ hoặc đặt hàng trên cáctrang thương mại điện tử như tiki, lazada, shopee gần nhà mua loại 'pin cúc áo' mã CR2450 3V của Panasonic (mua đúng loại) hoặc a/c tháo pin trong Remote đem đi mua đúng loại pin cầm theo.",
